 to your browser, в ваш браузер
"""Company History""",«История компании»
"""Parent"" signifies the parent table in which this row must be added","«Родитель» означает родительскую таблицу, в которую должна быть добавлена эта строка"
"""Team Members"" or ""Management""",«Участники команды» или «Руководство»
"""amended_from"" field must be present to do an amendment.",Поле «amended_from» должно присутствовать для исправления.
"""{0}"" is not a valid Google Sheets URL",«{0}» не является действительным URL Google Таблиц
&lt;head&gt; HTML,&lt;head&gt; HTML
'In Global Search' not allowed for type {0} in row {1},«В глобальном поиске» не допускается для типа {0} в строке {1}
'In List View' not allowed for type {0} in row {1},«В списке» не допускается для типа {0} в строке {1}
'Recipients' not specified,«Получатели» не указаны
'{0}' not allowed for type {1} in row {2},«{0}» не допускается для типа {1} в строке {2}
(Ctrl + G),(Ctrl + G)
(Mandatory),(Обязательное)
** Failed: {0} to {1}: {2},** Сбой: {0} → {1}: {2}
**Currency** Master,Справочник **валют**
+ Add a Filter,+ Добавить фильтр
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Черновик; 1 - Проведён; 2 - Отменён
0 is highest,0 — наивысший
1 Currency = [?] Fraction\nFor e.g. 1 USD = 100 Cent,1 единица валюты = [?] дробных единиц\nНапример: 1 USD = 100 центов
1 Google Calendar Event synced.,Синхронизировано 1 событие Google Календаря.
1 Report,1 отчёт
1 comment,1 комментарий
1 hour ago,1 час назад
1 minute ago,1 минуту назад
1 month ago,1 месяц назад
1 record will be exported,1 запись будет экспортирована
1 week ago,1 неделю назад
1 year ago,1 год назад
5 Records,5 записей
; not allowed in condition,; не допускается в условии
"<h4>Default Template</h4>\n<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>","<h4>Шаблон по умолчанию</h4>\n<p>Используется <a href=""http://jinja.pocoo.org/docs/templates/"">шаблонизатор Jinja</a>; доступны все поля адреса (включая настраиваемые поля, если они есть)</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Телефон: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Факс: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>"
"<p>Set context before rendering a template. Example:</p><p>\n</p><div><pre><code>\ncontext.project = frappe.get_doc(""Project"", frappe.form_dict.name)\n</code></pre></div>","<p>Установите контекст перед рендерингом шаблона. Пример:</p><p>\n</p><div><pre><code>\ncontext.project = frappe.get_doc(""Project"", frappe.form_dict.name)\n</code></pre></div>"
A Lead with this Email Address should exist,Лид с таким адресом эл. почты должен существовать
A featured post must have a cover image,У избранного поста должна быть обложка
A field with the name '{}' already exists in doctype {}.,Поле с именем «{}» уже существует в doctype {}.
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,"Список ресурсов, к которым клиентское приложение получит доступ после разрешения пользователя.<br> Например: project"
A log of request errors,Журнал ошибок запросов
A new account has been created for you at {0},Для вас создана новая учётная запись на {0}
A recurring {0} {1} has been created for you via Auto Repeat {2}.,Повторяющийся {0} {1} был создан для вас через автоповтор {2}.
A symbol for this currency. For e.g. $,Символ этой валюты. Например: $
